kind,en,ja
realm,Panic Shot,射撃離脱
realm,Panic Summons,召喚離脱
realm,Panic Traps,罠設置離脱
realm,Flee Level,階からの脱出
realm,New Beginnings,出直し
realm,Major Getaway,大逃走
realm,Protect Loot,戦利品の保護
realm,Master Thievery,盗賊の極意
realm,Shadow Storm,影の嵐
realm,Hide in Shadows,影に隠れる
realm,Den of Thieves,盗賊の巣
realm,Set Ultimate Trap,究極の罠設置
realm,Assassinate,暗殺

# ----------------------------------------------------------------------------
# 職と種族の力の名（`case SPELL_NAME: var_set_string(res, "…")` の族。第 29 回。設計 §8.51）。
# **20 バイトまで**（力の一覧の `%-23.23s` と呪文のサブウィンドウの欄）。

power,Create Infusion,煎じ薬の作成
power,Evaporate,蒸発
power,Break Down Potion,薬の分解
power,Reproduce Infusion,煎じ薬の複製
power,Create Ammo,弾/矢の製造
power,Ancient Protection,古の守護
power,Double Crack,二重の鞭打ち
power,Escape Rope,脱出の縄
power,Excavation,発掘
power,Extended Crack,伸びる鞭打ち
power,Fetch,引き寄せ
power,First Aid,応急手当
power,Magic Blueprint,魔法の見取り図
power,Remove Obstacles,障害物の除去
power,Stop Singing,歌を止める
power,Change Skin,皮を変える
power,Swipe,薙ぎ払い
power,Mauling Charge,突進の一撃
power,Sniff,匂いを嗅ぐ
power,Raging Swipe,怒りの薙ぎ払い
power,Smash Trap,罠壊し
power,Blood Flow,流血
power,Blood Sight,血の視覚
power,Blood Spray,血しぶき
power,Blood Bath,血の風呂
power,Blood Shield,血の盾
power,Blood Seeking,血を求める
power,Blood Rage,血の狂乱
power,Blood Feast,血の饗宴
power,Blood Revenge,血の復讐
power,Blood Pool,血だまり
power,Blood Explosion,血の爆発
power,Cauterize Wounds,傷の焼灼
power,Blood Rite,血の儀式
power,Learning,ラーニング
power,Rodeo,荒馬ならし
power,Kiss,口づけ
power,Shine,輝く
power,Desperation,捨て身
power,Detect Devices,魔道具感知
power,Identify Device,魔道具鑑定
power,Transfer Effect,効果の転写
power,Stop Mimicry,変身を解く
power,Acrobatic Charge,軽業の突進
power,Darting Duel,疾走の決闘
power,Disengage,離脱
power,Mark Target,標的の指定
power,Phase Charge,転移の突進
power,Small Force Ball,小龍
power,Flying Technique,舞空術
power,Kamehameha,カメハメ波
power,Magic Resistance,対魔法防御
power,Improve Force,練気
power,Aura of Force,纏闘気
power,Shock Power,衝波
power,Large Force Ball,彗龍
power,Summon Ghost,幻霊召喚
power,Exploding Flame,爆発波
power,Super Kamehameha,超カメハメ波
power,Stop Spelling,詠唱を止める
power,Dissect Corpse,死体の解剖
power,Surgery,外科手術
power,Freeze Body Part,部位の冷凍
power,Device Focus,魔道具集中
power,Force Field,力場
power,Shadow Projection,影の投射
power,Absorb Magic,魔力の取り込み
power,Block,受け止め
power,Close In,間合い詰め
power,Critical Blow,会心の一撃
power,Crushing Blow,粉砕の一撃
power,Killing Spree,殺戮の宴
power,Knockback,吹き飛ばし
power,Maul,打ちのめし
power,Scatter,蹴散らし
power,Shatter,粉砕
power,Smash,破砕
power,Splatter,飛び散らし
power,Stunning Blow,朦朧の一撃
power,Tunnel,掘削
power,Precognition,霊視
power,Neural Blast,神経攻撃
power,Major Displacement,虚空の幻影
power,Character Armour,鎧化
power,Psychometry,擬似鑑定
power,Mind Wave,精神波動
power,Adrenaline Channeling,アドレナリン開放
power,Psychic Drain,サイキック・ドレイン
power,Banishing Mirror,追放の鏡
power,Binding Field,封魔結界
power,Break Mirrors,鏡割り
power,Drip of Light,光のしずく
power,Illusion Light,幻惑の光
power,Make Mirror,鏡の生成
power,Mirror Clashing,鏡砕き
power,Mirror Concentration,静水
power,Mirror of Light,閃光鏡
power,Mirror of Recall,帰還の鏡
power,Mirror of Ruffnor,ラフノールの鏡
power,Mirror of Seeing,真見の鏡
power,Mirror of Wandering,彷える鏡
power,Mirror Shifting,鏡の現実変容
power,Mirror Sleeping,催眠鏡
power,Mirror Tunnel,鏡抜け
power,Multishadow,影分身
power,Robe of Dust,微塵隠れ
power,Seal of Mirror,鏡の封印
power,Shield of Water,水鏡の盾
power,Warped Mirror,歪んだ鏡
power,Double Attack,百裂拳
power,Assume a Posture,構える
power,Albino,アルビノ
power,Alcohol,アルコール生成
power,Ambidexterity,両手利き
power,Arcane Mastery,秘術の熟達
power,Arthritis,関節炎
power,Astral Guide,星幽の導き手
power,Attract Animals,動物を引き寄せる
power,Attract Demons,悪魔を引き寄せる
power,Attract Dragon,竜を引き寄せる
power,Black Marketeer,闇市の手先
power,Blank Face,のっぺらぼう
power,Black Aura,黒いオーラ
power,Beak,クチバシ
power,Berserk Rage,狂戦士化
power,Cerebral Pultitis,脳軟化症
power,Chaos Deity,混沌の神の寵愛
power,Cowardice,臆病
power,Cult of Personality,個人崇拝
power,Demonic Grasp,悪魔の握力
power,Deadly Breath,強烈なブレス
power,Ancient Knowledge,古の口伝
power,Metamorphosis,変身
power,Dragon Skin,竜の皮膚
power,Dragon Strike,竜の一撃
power,Easy Tiring,疲れやすい
power,Very Easy Tiring,非常に疲れやすい
power,Eat Light,光喰い
power,Living Computer,生きた計算機
power,Electric Aura,電撃オーラ
power,Evasion,回避
power,Extra Eyes,余分な目
power,Extra Legs,余分な足
power,Extra Noise,余分な物音
power,Fantastic Frenzy,驚異の狂乱
power,Fast Learner,覚えが早い
power,Extra Fat,極度の肥満
power,Fearless,恐れ知らず
power,Fell Sorcery,邪悪な魔術
power,Fire Aura,炎のオーラ
power,Flatulence,鼓腸
power,Fleet of Foot,俊足
power,Fumbling,不器用
power,White Aura,白いオーラ
power,Hallucination,幻覚
power,He-man,超人的な力
power,Horns,角
power,Overconfidence,過信
power,Pushed to the Limits,無理のしすぎ
power,Nimbler than Your Body,体が付いてこない
power,Overactive Imagination,過剰な想像力
power,Unbalancing Strikes,体勢を崩す一撃
power,Attuned to God,神との調和
power,Acute Hypochondria,極度の心気症
power,Reassuring Image,安心させる幻影
power,Impotence,不能
power,Infernal Deal,悪魔との契約
power,Infravision,赤外線視
power,Inspired Smithing,鍛冶の霊感
power,Limber,しなやかな体
power,Limp,足を引きずる
power,Loremaster,博識家
power,Merchant's Friend,商人の友
power,Moron,白痴
power,Motion,正確な動き
power,Nausea,吐き気
power,No Inhibitions,抑制がきかない
power,Normality,正常化
power,One with Magic,魔法との一体化
power,Peerless Sniper,無双の狙撃手
power,Peerless Tracker,無双の追跡者
power,Polymorph Wounds,変異する傷
power,Potion Chugger,薬の早飲み
power,Produce Mana,魔力放出
power,Puny,ひ弱
power,Purple Patron,紫の庇護者
power,Random Banish,突然の追放
power,Random Teleportation,不規則なテレポート
power,Raw Chaos,純粋な混沌
power,Resilient,頑健
power,Rotting Flesh,腐乱する肉体
power,Sacred Vitality,聖なる生命力
power,Scales,鱗
power,Scorpion Tail,サソリの尾
power,Sensitive Eyes,敏感な目
power,Shadow Walk,影渡り
power,Short Legs,短い足
power,Silly Voice,間抜けな声
power,Speed Flux,変動する速度
power,Speed Reader,速読
power,Steel Skin,鋼の皮膚
power,Strong Mind,強靭な精神
power,Subtle Casting,気付かれぬ詠唱
power,Tentacles,触手
power,Elephantine Trunk,象の鼻
power,Untouchable,不可触
power,Unyielding,不屈
power,Deadly Whirl,必殺の旋回
power,Tornado Speed,竜巻の速さ
power,Breath Control,呼吸の制御
power,Vulnerability,脆弱
power,Warning,警告
power,Warts,いぼ
power,Horrible Wasting,恐ろしい消耗病
power,Waybread Intolerance,行糧不耐症
power,Weapon Versatility,武器の多才
power,Random Telepathy,不規則なテレパシー
power,Weird Mind,精神歪
power,Wings,翼
power,Corrosive Blow,腐食の一撃
power,Icy Fists,氷の拳
power,Defensive Stance,防御の構え
power,Quick Approach,迅速な接近
power,Flaming Strike,火炎の一撃
power,Knockout Blow,昏倒の一撃
power,Mystic Insights,神秘の洞察
power,Death Stance,死の構え
power,Aura of Retaliation,反撃のオーラ
power,Stealthy Approach,隠密の接近
power,Summon Spiders,クモ召喚
power,Absconding,高飛び
power,Bind Monster,金縛り
power,Bunshin,分身
power,Chain Hook,鎖鎌
power,Detect Near,周辺調査
power,Floating,浮雲
power,Glyph of Explosion,爆発のルーン
power,Hide in Flame,火遁
power,Hide in Leaves,葉隠れ
power,Hide in Mist,霧隠れ
power,Hit and Away,一撃離脱
power,Kawarimi,変わり身
power,Nyusin,入身
power,Quick Walk,速駆け
power,Rengoku-Kaen,煉獄火炎
power,Smoke Ball,煙玉
power,Syuriken Spreading,八方手裏剣
power,Detect Threats,脅威感知
power,Sleep-Inducing Speech,眠りの演説
power,Mystification,煙に巻く
power,Background Check,身元調査
power,Remove Aggravation,反感の除去
power,Summon Aide,側近の召喚
power,Spying,諜報
power,Spinning,情報操作
power,Doctoring,手当て
power,Diplomatic Impunity,外交特権
power,Filibuster,議事妨害
power,Create Chaos,混沌生成
power,Grit,気概
power,Grease,賄賂
power,Glory,名声
power,Cone,扇状ブレス
power,Split Beam,分裂ビーム
power,Retreating Breath,後退ブレス
power,Detect Magic,魔法感知
power,Reforging,再鍛造
power,Dragon's Roar,竜の咆哮
power,Rend,切り裂き
power,Rage,狂乱
power,Deadly Bite,必殺の噛みつき
power,Snatch,咥え投げ
power,Rapid Strike,連続の一撃
power,Power Strike,強力な一撃
power,Shard Skin,破片の皮膚
power,Dragon Cloak,竜の外套
power,Breathe Retribution,報復のブレス
power,Breathe Holiness,聖なるブレス
power,Smite Evil,破邪
power,Breathe Fear,恐怖のブレス
power,Breathe Reanimation,蘇生のブレス
power,Breathe Vampirism,吸血のブレス
power,Breathe Unholiness,不浄のブレス
power,Breathe Genocide,抹殺のブレス
power,Frightful Presence,恐怖の威圧
power,Detect Minions,手下感知
power,Baffling Presence,惑わす威圧
power,Enslave,隷属化
power,Breathe Subjugation,服従のブレス
power,Aura of Domination,支配のオーラ
power,Banish Summons,召喚物の追放
power,Reach,間合い伸ばし
power,Tail Sweep,尾薙ぎ
power,Wing Storm,翼の嵐
power,Elemental Rage,元素の憤怒
power,Earthen Healing,大地の癒し
power,Earthen Portal,大地の門
power,Wall of Earth,土の壁
power,Confusing Strike,混乱の一撃
power,Whirlwind,カマイタチ
power,Sky Gate,天空の門
power,Adjust Armour,鎧の調整
power,Acid Strike,酸の一撃
power,Water Gate,水の門
power,Healing Bath,癒しの水浴
power,Fire Whip,炎の鞭
power,Fire Door,炎の扉
power,Healing Flames,癒しの炎
power,Throw Monster,モンスター投げ
power,Ice Storm,氷の嵐
power,Breathe Storm,嵐のブレス
power,Big Punch,大打撃
power,Breathe Cold,冷気のブレス
power,Stone Smash,岩砕き
power,Bark,吠える
power,Pounce,飛びかかり
power,Run,疾走
power,Stalk,忍び寄り
power,Divide,分裂
power,Cytomorph,細胞変形
power,Blinking Death,瞬く死神
power,Hoarding,蓄財
power,Fanaticism,狂信
power,Browse Forms,姿の一覧
power,Mimic,擬態
power,Purge Curse,呪い解き
power,Curse Item,アイテムを呪う
power,Blasphemy,冒涜の言葉
power,Lesser Curse,弱い呪い
power,Curse of Impotence,無力の呪い
power,Dimensional Lock,次元の封鎖
power,Absorb Curse Power,呪い浄化
power,Drain Curse Power,呪力吸収
power,Umbra,影の帳
power,Assess Curses,呪いの鑑定
power,Unleash Malice,悪意の解放
power,Summon Orcs,オーク召喚
power,Orcish Curse,オークの呪い
power,Curse of Morgul,モルグルの呪い
power,Possess,憑依
power,Unpossess,憑依解除
power,Summon Ancient Dragon,古代ドラゴンの召喚
power,Summon Balrog,バルログ召喚
power,Summon Clubber Demon,撲殺の悪魔召喚
power,Summon Dark Elf,ダークエルフ召喚
power,Summon Demon Summoner,悪魔召喚士の召喚
power,Summon Dragon Summoner,竜召喚士の召喚
power,Summon Giant,巨人召喚
power,Summon Golem,ゴーレム召喚
power,Summon Greater Dragons,上級ドラゴン召喚
power,Summon Greater Demons,上級悪魔召喚
power,Summon Greater Undead,強力なアンデッド召喚
power,Summon Lich,リッチ召喚
power,Summon Mature Dragon,成竜召喚
power,Summon Ultimate,究極召喚
power,Summon Undead Summoner,死霊召喚士の召喚
power,Summon Wight,ワイト召喚
power,Summon Yeeks,イーク召喚
power,Absorb Powers,力の吸収
power,Detect Armour,防具感知
power,Identify Armour,防具鑑定
power,Absorb Jewelry,装身具の吸収
power,Detect Jewelry,装身具感知
power,Identify Jewelry,装身具鑑定
power,Glitter,輝き
power,Detect Prey,獲物感知
power,Spider Web,蜘蛛の巣
power,Phase Shield,転移の盾
power,Absorb Weapon,武器の吸収
power,Detect Weapons,武器感知
power,Identify Weapon,武器鑑定
power,Breathe Gas,毒のブレス
power,Powerful Attack,強力な攻撃
power,Vampiric Bite,吸血の牙
power,Vampiric Gaze,魅了の眼力
power,Vampiric Grasp,引き寄せの手
power,Return to Vampire,吸血鬼へ戻る
power,Polymorph Bat,コウモリ変身
power,Polymorph Mist,霧への変身
power,Polymorph Wolf,狼への変身
power,Elemental Escape,元素の逃走
power,Elemental Explosion,元素の爆発
power,Spin Away,回転離脱
power,Unleash Elements,元素の解放
power,Vomit,嘔吐
power,Jump,跳躍
power,Devour Flesh,肉を喰らう
power,Antimagic Ray,反魔法の光線
power,Armor of Fury,憤怒の鎧
power,Barbarian Lore,蛮族の知識
power,Barbaric Resistance,蛮族の耐性
power,Crude Mapping,粗い地図
power,Detect Magical Foes,魔法使い感知
power,Evasive Leap,回避の跳躍
power,Focus Rage,憤怒の集中
power,Force Brand,フォースの刃
power,Focus *Rage*,＊憤怒＊の集中
power,Greater Shout,大喝
power,Ragestrike,憤怒の一撃
power,Rage Sustenance,憤怒の糧
power,Resist Curses,呪い耐性
power,Resist Disenchantment,劣化耐性
power,Shatter Device,魔道具破壊
power,Shout,一喝
power,Spell Reaction,呪文反応
power,Spell Turning,呪文返し
power,Dispel Curses,呪い解除
power,Summon Horde,群れの召喚
power,Veteran's Blessing,古強者の祝福
power,Double Magic,連続魔
power,Absorption,吸収
power,Protection,守護
power,Shadow,影
power,Earth,大地
power,Understanding,理解
power,Preservation,保存
power,Seeing,千里眼
power,Stability,安定
power,Reflection,反射
power,Death,死
power,Mind,精神
power,Might,剛力
power,Luck,幸運
power,Immortality,不死
power,Daemon,悪魔
power,Concentration,気合いため
power,Assume a Guard Position,型に構える
power,Cavern Creation,洞窟生成
power,Dark Stalker,闇の忍び
power,Greater Mapping,広域地図
power,Greater Ambush,大待ち伏せ
power,Lookout,見張り
power,Nimble Dodge,素早い回避
power,Reconnaissance,偵察
power,Retreat,退却
power,Sniping,狙撃
power,Stealthy Snipe,隠密の狙撃
power,Ambush,待ち伏せ
power,Throw Weapon,武器投げ
power,Shining Arrow,輝きの矢
power,Shoot and Away,撃ち逃げ
power,Disarming Shot,罠壊しの射撃
power,Burning Shot,火炎の射撃
power,Freezing Shot,冷気の射撃
power,Evil Shot,邪悪の射撃
power,Holy Shot,聖なる射撃
power,Exploding Shot,爆裂の射撃
power,Double Shot,二重射撃
power,Thunder Shot,電撃の射撃
power,Needle Shot,針の射撃
power,Saint Stars Arrow,聖なる星の矢
power,Unknown Spell,未知の呪文
power,Ray Gun,レイガン
power,Blaster,ブラスター
power,Bazooka,バズーカ
power,Beam Cannon,ビームキャノン
power,Rocket Launcher,ロケット発射
power,Awesome Blow,強力な殴打
power,Bless Weapon,武器祝福
power,Building Up,肉体強化
power,Cause Light Wounds,軽傷
power,Cause Medium Wounds,重傷
power,Cause Critical Wounds,致命傷
power,Cause Mortal Wounds,秘孔を突く
power,Clear Mind,明鏡止水
power,Create Food,食糧生成
power,Create Major Trap,強力な罠の設置
power,Create Minor Trap,弱い罠の設置
power,Create Ultimate Trap,究極の罠の設置
power,Day of the Dove,凪の刻
power,Breathe Fire/Nether,火炎/地獄のブレス
power,Detect Curses,呪い感知
power,Dominate a Living Thing,生物支配
power,Dominate Living Things,真・生物支配
power,Eat Magic,魔力食い
power,Eat Rock,岩食い
power,Evocation,召魂
power,Force Branding,フォースの刃
power,Grow Mold,カビ発生
power,Hide in Mud,土遁
power,Convert HP to SP,変換: ＨＰ→ＭＰ
power,Hypnotic Gaze,催眠睨み
power,Expand Horizontally,横に伸びる
power,Laser Eye,レーザー・アイ
power,Massacre,皆殺し
power,Pattern Mindwalking,パターン・ウォーク
power,Polymorph Colossus,巨像への変身
power,Throw Object,アイテム投げ
power,Probe Monster,モンスター調査
power,Emit Radiation,放射能
power,Resist Elements,エレメント耐性
power,Magic Rocket I,ロケットＩ
power,Magic Rocket II,ロケットＩＩ
power,Shadow Shifting,シャドウ・シフト
power,Shoot Arrow,矢を射る
power,Sleeping Dust,眠り粉
power,Smell Metal,金属嗅覚
power,Smell Monsters,敵臭嗅覚
power,Convert SP to HP,変換: ＭＰ→ＨＰ
power,Spit Acid,酸の唾
power,Sterility,増殖阻止
power,The World,完全な世界
power,Summon Amberites,アンバーの王族召喚
power,Summon Ancient Dragons,古代ドラゴン召喚
power,Summon Kin,同族召喚
power,Summon Monster,単体召喚
power,Summon Trees,樹木召喚
power,Summon Uniques,ユニーク召喚
power,Hide in Darkness,闇に隠れる
power,Sword Dancing,剣の舞い
power,Weigh Magic,魔力感知
power,Foretell,予知
power,Quicken,小加速
power,Wither,風化
power,Blast,時の衝撃
power,Revert,復元
power,Wave,時の波
power,Shield,シールド
power,Rewind,巻き戻し
power,Breath,ブレス
power,Remembrance,追憶
power,Stasis,停止
power,Travel,旅行
power,Double Move,二重行動
power,Foresee,予見
power,Take Photograph,写真撮影
power,Triple Attack,三方攻撃
power,Wave of Death,死の波動
power,Berserk Frenzy,狂戦士の狂乱
power,Purple Vampirism,紫の吸血
power,Purple Slaughter,紫の連撃
power,Slay Orcs,オーク殺し
power,Slay Animals,動物殺し
power,Slay Trolls,トロル殺し
power,Slay Humans,人間殺し
power,Flame Tongue,焼棄
power,Winter's Chill,冬の凍気
power,Caustic Coating,酸の被膜
power,Thunder Strike,雷撃
power,Slay Giants,巨人殺し
power,Slay Dragons,ドラゴン殺し
power,Long Attack,遠間攻撃
power,Slay Demons,悪魔殺し
power,Slay Undead,不死殺し
power,Purple Sharpness,紫の鋭利
power,Mark of Chaos,混沌
power,Purple Stunning,紫の朦朧
power,Mana Brand,魔力の刃
power,Eldritch Blast,魔弾
power,Blast: Easy,魔弾：無消費
power,Blast: Extended,魔弾：延伸
power,Blast: Spear,魔弾：ビーム
power,Blast: Burst,魔弾：爆発
power,Blast: Stunning,魔弾：朦朧
power,Blast: Empowered,魔弾：増幅
power,Blast: Draining,魔弾：吸収
power,Blast: Dragon,魔弾：ブレス
power,Dragon's Lore,竜の知識
power,Dragon's Eye,竜の眼
power,Word of Command,命令の言葉
power,Joyful Song,喜びの歌
power,Song of Haste,加速の歌
power,Song of Life,生命の歌
power,Song of War,戦いの歌
power,Guided Attack,攻撃指示
power,Guided Breath,ブレス指示
power,Dragons' Fury,竜たちの怒り
power,Blast: Dispelling,魔弾：魔力消去
power,Blast: Vengeful,魔弾：復讐
power,Blast: Aether,魔弾：エーテル
power,Dog Whistle,犬笛
power,Aether Shield,エーテルの盾
power,Blast: Phasing,魔弾：転移
power,Poison Jump,毒の跳躍
power,Nexus Jump,因果の跳躍
power,Greater Nexus Jump,上級因果跳躍
power,Blast: Confusing,魔弾：混乱
power,Giant's Healing,巨人の治癒
power,Crusaders Strike,聖戦士の一撃
power,Power Attack,強打
power,Vicious Strike,凶悪な一撃
power,Arrow of Slaying,必殺の矢
power,Disintegration Arrow,分解の矢
power,Piercing Arrow,貫通の矢
power,Readied Shot,反撃の矢
power,Tranquilizing Arrow,眠りの矢
power,Volley,曲射
power,Cunning Strike,巧妙な一撃
power,Smash Ground,地面叩き
power,Trade Blows,打ち合い
power,Careful Aim,慎重な狙い
power,Elemental Bolt,元素のボルト
power,Exploding Bolt,爆裂のボルト
power,Overdraw,強引き
power,Rapid Reload,速装填
power,Shattering Bolt,砕裂のボルト
power,Dagger Toss,短剣投げ
power,Flying Dagger Stance,飛刃の構え
power,Elusive Strike,幻惑の一撃
power,Frenzy Stance,狂乱の構え
power,Shadow Stance,影の構え
power,Calamity of the Living,生者の災厄
power,Bury Dead,埋葬
power,Barricade,バリケード
power,Strength of Undertaker,葬儀屋の膂力
power,Stoicism,堅忍
power,Industrious Mortician,勤勉な葬儀屋
power,Many Strike,一斉攻撃
power,Piercing Strike,貫通の一撃
power,Trip,足払い
power,Knock Back,押し返し
power,Reaping,刈り取り
power,Shield Bash,盾殴り
power,Bulwark,防壁
power,Revenge,復讐
power,Bouncing Pebble,跳弾
power,Greater Many Shot,上級一斉射撃
power,Many Shot,一斉射撃
power,Rapid Shot,速射
power,Shoot on the Run,走り撃ち
power,Monkey King's Technique,孫悟空の術
power,Circle Kick,回し蹴り
power,Vault Attack,跳躍攻撃
power,Flurry of Blows,乱れ打ち
power,Burning Blade,灼熱の刃
power,Ice Blade,氷の刃
power,Thunder Blade,雷の刃
power,Blood Blade,血の刃
power,Order Blade,秩序の刃
power,Wild Blade,荒ぶる刃
power,Smithing,鍛冶
power,Change Shape,姿を変える
power,Cone of Plasma,プラズマの扇
power,Purple Healing,紫の治癒
power,Shuffle Trumps,カード引き
power,Purple Hook,紫の鉤爪
power,Creep in Shadows,影に潜む
power,Word of Banishment,追放の言葉
power,Wrecking Yelp,破壊の叫び
power,Easy Casting,容易な詠唱
power,Essence of Life,生命の精髄
power,Notes of Death,死の手記
power,Nervous Casting,神経質な詠唱
power,Object Lessons,実物教育
power,Power Sorcery,強力な魔術
power,Purple Deadliness,紫の必殺
power,Purple Muscles,紫の筋力
power,Purple Protection,紫の守護
power,Purple Speed,紫の加速
power,Purple Stealth,紫の隠密
power,Purple Vitality,紫の活力
power,Rapid Shooting,高速射撃
power,Speedy Recovery,速やかな回復
power,Trump Shuffling,トランプ術
power,Lottery Tickets,宝くじ
power,Quick Spelling,高速詠唱
power,Yeqrezh's Memories,イェクレジュの記憶
# --- 第 32 回: 書式へ組み立てる力の名（設計 §8.54）。`case SPELL_NAME:` が
# `format()` や表の引きで名を作る 26 か所ぶん。**枠は訳せない**（返り値が
# `spell_stats_aux()` と `power_labels[]` の鍵。§8.51 ②）ので、
# **組み上がった字**をここへ書いて `fc_spell_name()` で引く。
built,Archery I,射撃 I
built,Archery II,射撃 II
built,Archery III,射撃 III
built,Archery IV,射撃 IV
built,Archery V,射撃 V
built,Brain Smash I,脳攻撃 I
built,Brain Smash II,脳攻撃 II
built,Brain Smash III,脳攻撃 III
built,Brain Smash IV,脳攻撃 IV
built,Brain Smash V,脳攻撃 V
built,Combat I,格闘 I
built,Combat II,格闘 II
built,Combat III,格闘 III
built,Combat IV,格闘 IV
built,Combat V,格闘 V
built,Ego Whip I,精神の鞭 I
built,Ego Whip II,精神の鞭 II
built,Ego Whip III,精神の鞭 III
built,Ego Whip IV,精神の鞭 IV
built,Ego Whip V,精神の鞭 V
built,Blast I,エネルギー爆発 I
built,Blast II,エネルギー爆発 II
built,Blast III,エネルギー爆発 III
built,Blast IV,エネルギー爆発 IV
built,Blast V,エネルギー爆発 V
built,Graft Weapon I,武器接合 I
built,Graft Weapon II,武器接合 II
built,Graft Weapon III,武器接合 III
built,Graft Weapon IV,武器接合 IV
built,Graft Weapon V,武器接合 V
built,Mana Thrust I,マナの一撃 I
built,Mana Thrust II,マナの一撃 II
built,Mana Thrust III,マナの一撃 III
built,Mana Thrust IV,マナの一撃 IV
built,Mana Thrust V,マナの一撃 V
built,Mental Fortress I,精神の砦 I
built,Mental Fortress II,精神の砦 II
built,Mental Fortress III,精神の砦 III
built,Mental Fortress IV,精神の砦 IV
built,Mental Fortress V,精神の砦 V
built,Mindspring I,精神の泉 I
built,Mindspring II,精神の泉 II
built,Mindspring III,精神の泉 III
built,Mindspring IV,精神の泉 IV
built,Mindspring V,精神の泉 V
built,Backlash I,精神の報復 I
built,Backlash II,精神の報復 II
built,Backlash III,精神の報復 III
built,Backlash IV,精神の報復 IV
built,Backlash V,精神の報復 V
built,Blending I,精神の潜行 I
built,Blending II,精神の潜行 II
built,Blending III,精神の潜行 III
built,Blending IV,精神の潜行 IV
built,Blending V,精神の潜行 V
built,Clarity I,精神の明晰 I
built,Clarity II,精神の明晰 II
built,Clarity III,精神の明晰 III
built,Clarity IV,精神の明晰 IV
built,Clarity V,精神の明晰 V
built,Crafting I,精神の作成 I
built,Crafting II,精神の作成 II
built,Crafting III,精神の作成 III
built,Crafting IV,精神の作成 IV
built,Crafting V,精神の作成 V
built,Disruption I,精神攪乱 I
built,Disruption II,精神攪乱 II
built,Disruption III,精神攪乱 III
built,Disruption IV,精神攪乱 IV
built,Disruption V,精神攪乱 V
built,Drain I,精神力吸収 I
built,Drain II,精神力吸収 II
built,Drain III,精神力吸収 III
built,Drain IV,精神力吸収 IV
built,Drain V,精神力吸収 V
built,Foresight I,精神の予見 I
built,Foresight II,精神の予見 II
built,Foresight III,精神の予見 III
built,Foresight IV,精神の予見 IV
built,Foresight V,精神の予見 V
built,Healing I,精神の治癒 I
built,Healing II,精神の治癒 II
built,Healing III,精神の治癒 III
built,Healing IV,精神の治癒 IV
built,Healing V,精神の治癒 V
built,Shielding I,精神の盾 I
built,Shielding II,精神の盾 II
built,Shielding III,精神の盾 III
built,Shielding IV,精神の盾 IV
built,Shielding V,精神の盾 V
built,Speed I,精神の加速 I
built,Speed II,精神の加速 II
built,Speed III,精神の加速 III
built,Speed IV,精神の加速 IV
built,Speed V,精神の加速 V
built,Storm I,精神の嵐 I
built,Storm II,精神の嵐 II
built,Storm III,精神の嵐 III
built,Storm IV,精神の嵐 IV
built,Storm V,精神の嵐 V
built,Mind Wave I,精神波動 I
built,Mind Wave II,精神波動 II
built,Mind Wave III,精神波動 III
built,Mind Wave IV,精神波動 IV
built,Mind Wave V,精神波動 V
built,Resist Fire and Cold,火炎と冷気の耐性
built,Elemental Protection,属性の守り
built,"and Traps, Objects",+罠とアイテム
built,and Surroundings,+周辺の地形
built,and Telepathy,+テレパシー
built,and Clairvoyance,+千里眼
built,Psionic Portal,精神の門
built,Breathe Force,フォースのブレス
built,Breathe Toxic Waste,放射性廃棄物のブレス
built,Breathe Storm Winds,暴風のブレス
built,Breathe Holy Fire,聖なる炎のブレス
built,Breathe Hell Fire,業火のブレス
built,Breathe Air,大気のブレス
# --- 第 32 回: メニューに並ぶ名（設計 §8.54 の #53）。`case MENU_TEXT:` が素の
# `char *` を返す 5 つの表。`menu.c` の `sprintf()` は `vstrnfmt()` を通らないので、
# **画へ出す所（`_list()`）で `fc_spell_name()` が引く。**
menu,Mana Thrust,マナの一撃
menu,Energy Blast,エネルギー爆発
menu,Psionic Seeing,精神感知
menu,Graft Weapon,武器接合
menu,Psionic Clarity,精神の明晰
menu,Psionic Blending,精神の潜行
menu,Psionic Shielding,精神の盾
menu,Psionic Travel,精神の移動
menu,Psionic Protection,精神の守り
menu,Combat Transformation,格闘変容
menu,Archery Transformation,射撃変容
menu,Psionic Speed,精神の加速
menu,Psionic Healing,精神の治癒
menu,Psionic Crafting,精神の作成
menu,Psionic Storm,精神の嵐
menu,Psionic Backlash,精神の報復
menu,Psionic Disruption,精神攪乱
menu,Mental Fortress,精神の砦
menu,Mindspring,精神の泉
menu,Psionic Foresight,精神の予見
menu,Cold,冷気
menu,Anger Management,怒りの制御
menu,Northern Frights,北方の戦慄
menu,The Sound and the Fury,響きと怒り
menu,Dire Ire,凄まじい憤怒
menu,Runes of Creation,創造のルーン
menu,Runes of Enhancement,強化のルーン
menu,Runes of Alteration,変転のルーン
menu,Runes of Battle,戦のルーン
menu,Wild Beginnings,野生のはじまり
menu,Wild Musings,野生の思索
menu,Wild Destructions,野生の破壊
# --- 第 32 回: 指輪の種族の系統の名（r_ring.c の `_groups[]`）。メニューに並ぶ名で、
# 問いかけの `%s` にも入る（`Use which type of %s?`）。
menu,Offense: Bolt,攻撃: ボルト
